time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.054 sec,-36.919,108.013,23.048,4.829,-3.824,25.344,0.744,-0.652,5.883,1.487,-1.303,11.766,22.121,5.856,314.38,210.698,-0.319,0.317,0.378,4.658,5.437,-18.978,-0.349,0.058,0.368,6.299,5.702,1.867,-0.404,0.069,0.366,1.831,1.971,2.876
0.055 sec,-32.127,108.832,22.303,4.895,-3.84,25.562,0.763,-0.672,6.023,1.526,-1.344,12.045,22.412,6.055,301.555,209.593,-0.317,0.317,0.378,4.67,5.428,-19.375,-0.349,0.058,0.368,6.418,5.777,1.721,-0.404,0.069,0.366,1.789,1.929,2.766
0.056 sec,-28.897,110.086,22.093,4.983,-3.916,25.886,0.782,-0.693,6.16,1.564,-1.385,12.319,22.695,6.255,288.575,208.724,-0.315,0.317,0.379,4.681,5.419,-19.776,-0.349,0.058,0.369,6.541,5.853,1.563,-0.404,0.069,0.367,1.749,1.89,2.644
0.057 sec,-26.65,111.567,22.177,5.083,-4.02,26.266,0.8,-0.713,6.293,1.601,-1.426,12.586,22.968,6.457,275.591,208.015,-0.313,0.317,0.379,4.692,5.409,-20.177,-0.349,0.058,0.369,6.666,5.93,1.394,-0.403,0.07,0.367,1.709,1.852,2.513
0.058 sec,-25.022,113.163,22.445,5.189,-4.14,26.677,0.818,-0.734,6.422,1.636,-1.467,12.844,23.229,6.659,262.701,207.423,-0.311,0.316,0.379,4.703,5.4,-20.578,-0.349,0.059,0.369,6.793,6.008,1.214,-0.403,0.07,0.368,1.669,1.817,2.37
0.059 sec,-23.63,114.95,22.853,5.309,-4.284,27.14,0.837,-0.756,6.561,1.675,-1.513,13.123,23.51,6.886,248.363,206.873,-0.309,0.316,0.38,4.715,5.388,-21.028,-0.349,0.059,0.37,6.94,6.097,0.999,-0.403,0.071,0.368,1.626,1.78,2.198
0.06 sec,-22.513,116.675,23.316,5.426,-4.43,27.593,0.855,-0.779,6.693,1.711,-1.557,13.385,23.773,7.111,234.424,206.433,-0.307,0.316,0.38,4.727,5.377,-21.469,-0.348,0.06,0.37,7.087,6.185,0.774,-0.403,0.072,0.369,1.584,1.746,2.016
0.061 sec,-21.635,118.186,23.768,5.53,-4.567,27.994,0.871,-0.799,6.806,1.742,-1.597,13.611,23.999,7.316,221.945,206.114,-0.305,0.316,0.38,4.738,5.367,-21.868,-0.348,0.06,0.371,7.224,6.265,0.559,-0.403,0.072,0.369,1.547,1.717,1.841
0.062 sec,-20.843,119.614,24.227,5.631,-4.703,28.378,0.886,-0.818,6.912,1.772,-1.636,13.824,24.211,7.518,209.791,205.866,-0.303,0.316,0.381,4.749,5.357,-22.261,-0.348,0.06,0.371,7.362,6.344,0.337,-0.402,0.073,0.37,1.511,1.691,1.658
0.063 sec,-20.168,121.131,24.754,5.734,-4.853,28.791,0.9,-0.837,7.012,1.8,-1.675,14.025,24.412,7.721,197.91,205.672,-0.301,0.316,0.381,4.759,5.346,-22.651,-0.348,0.061,0.371,7.503,6.424,0.106,-0.402,0.073,0.37,1.476,1.668,1.467
0.064 sec,-19.614,122.522,25.293,5.83,-5.004,29.177,0.913,-0.856,7.106,1.827,-1.712,14.212,24.599,7.921,186.478,205.493,-0.299,0.316,0.381,4.769,5.336,-23.035,-0.347,0.061,0.372,7.645,6.503,-0.133,-0.402,0.074,0.371,1.443,1.646,1.268
0.065 sec,-19.075,123.819,25.812,5.922,-5.15,29.542,0.926,-0.875,7.196,1.853,-1.749,14.392,24.78,8.127,175.086,205.321,-0.297,0.316,0.382,4.779,5.325,-23.426,-0.347,0.062,0.372,7.792,6.583,-0.385,-0.401,0.075,0.371,1.409,1.626,1.057
0.066 sec,-18.541,124.989,26.301,6.008,-5.291,29.876,0.939,-0.893,7.279,1.877,-1.785,14.557,24.948,8.33,164.074,205.166,-0.295,0.316,0.382,4.789,5.314,-23.81,-0.347,0.062,0.372,7.941,6.663,-0.644,-0.401,0.075,0.372,1.377,1.609,0.839
0.067 sec,-17.978,126.038,26.752,6.088,-5.426,30.18,0.95,-0.91,7.355,1.9,-1.821,14.711,25.105,8.533,153.35,205.028,-0.294,0.316,0.382,4.798,5.304,-24.19,-0.347,0.063,0.373,8.092,6.742,-0.91,-0.401,0.076,0.372,1.346,1.593,0.615
0.068 sec,-17.371,126.966,27.16,6.161,-5.555,30.453,0.961,-0.928,7.426,1.922,-1.855,14.853,25.252,8.737,142.778,204.907,-0.292,0.316,0.383,4.808,5.293,-24.57,-0.346,0.063,0.373,8.247,6.821,-1.186,-0.4,0.077,0.373,1.316,1.579,0.381
0.069 sec,-16.761,127.854,27.56,6.232,-5.684,30.717,0.971,-0.944,7.491,1.943,-1.889,14.981,25.388,8.939,132.538,204.812,-0.29,0.316,0.383,4.817,5.282,-24.943,-0.346,0.064,0.373,8.402,6.898,-1.467,-0.4,0.078,0.373,1.286,1.567,0.143
0.07 sec,-16.154,128.614,27.945,6.296,-5.81,30.949,0.981,-0.961,7.549,1.962,-1.922,15.098,25.515,9.142,122.485,204.728,-0.288,0.316,0.383,4.826,5.27,-25.315,-0.346,0.064,0.374,8.561,6.975,-1.756,-0.4,0.078,0.374,1.258,1.557,-0.104
0.071 sec,-15.505,129.238,28.28,6.354,-5.926,31.146,0.99,-0.977,7.601,1.981,-1.953,15.203,25.631,9.344,112.67,204.656,-0.286,0.316,0.384,4.835,5.259,-25.683,-0.346,0.065,0.374,8.721,7.051,-2.052,-0.399,0.079,0.374,1.231,1.549,-0.356
0.072 sec,-14.808,129.751,28.577,6.406,-6.037,31.312,0.999,-0.992,7.648,1.998,-1.984,15.295,25.737,9.546,103.036,204.605,-0.284,0.316,0.384,4.843,5.248,-26.047,-0.345,0.065,0.375,8.884,7.126,-2.353,-0.399,0.08,0.375,1.204,1.542,-0.614
0.073 sec,-14.059,130.151,28.833,6.453,-6.141,31.449,1.007,-1.007,7.688,2.014,-2.013,15.376,25.834,9.747,93.533,204.58,-0.282,0.316,0.384,4.851,5.237,-26.408,-0.345,0.066,0.375,9.049,7.2,-2.662,-0.399,0.081,0.375,1.178,1.537,-0.879
0.074 sec,-13.278,130.496,29.071,6.497,-6.244,31.571,1.015,-1.021,7.723,2.029,-2.042,15.445,25.921,9.949,84.148,204.583,-0.28,0.316,0.385,4.859,5.225,-26.766,-0.345,0.066,0.375,9.217,7.274,-2.977,-0.398,0.082,0.376,1.154,1.533,-1.15
