time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0 sec,-5490.469,11579.467,435.531,377.89,34.035,1666.686,0.726,0.976,-4.729,-0,-0,-0,-33.708,0.027,1273.782,115.133,-0.354,0.402,0.384,3.277,-0.347,2.138,-0.304,0.101,0.369,8.131,4.388,-31.08,-0.344,0.139,0.369,8.104,4.385,-31.075
0.001 sec,-99.897,175.676,55.453,3.098,-5.432,19.722,0.687,0.841,-4.001,-0,-0,-0,-31.556,0.261,1704.112,191.538,-0.354,0.399,0.384,3.279,-0.055,1.576,-0.306,0.099,0.368,8.025,4.458,-29.576,-0.347,0.136,0.369,7.768,4.422,-29.525
0.002 sec,-26.684,59.099,18.59,1.133,-2.086,7.334,0.663,0.753,-3.527,-0,-0,-0,-29.958,0.438,1737.351,189.657,-0.355,0.397,0.384,3.28,0.149,1.166,-0.307,0.098,0.368,7.95,4.5,-28.45,-0.349,0.134,0.368,7.519,4.431,-28.363
0.003 sec,-2.242,18.241,5,0.48,-0.771,2.833,0.64,0.671,-3.085,-0,-0,-0,-28.277,0.618,1748.67,182.645,-0.355,0.395,0.383,3.282,0.359,0.739,-0.309,0.096,0.368,7.865,4.543,-27.259,-0.351,0.132,0.368,7.26,4.433,-27.137
0.004 sec,1.322,5.074,1.309,0.154,-0.29,0.96,0.617,0.592,-2.66,-0,-0,-0,-26.423,0.806,1749.354,172.736,-0.355,0.393,0.383,3.285,0.587,0.271,-0.311,0.095,0.368,7.764,4.59,-25.94,-0.354,0.13,0.368,6.978,4.427,-25.781
0.005 sec,0.213,0.458,0.162,0.01,-0.038,0.095,0.594,0.523,-2.293,-0,-0,-0,-24.568,0.983,1743.962,161.216,-0.355,0.39,0.383,3.29,0.814,-0.195,-0.312,0.094,0.368,7.654,4.635,-24.615,-0.356,0.128,0.368,6.7,4.415,-24.421
0.006 sec,0,0,0,0,0,0,0.574,0.467,-2.001,-0,-0,-0,-22.851,1.137,1735.899,150.326,-0.356,0.388,0.383,3.295,1.023,-0.625,-0.314,0.093,0.368,7.544,4.677,-23.385,-0.359,0.126,0.368,6.446,4.398,-23.16
0.007 sec,0,0,0,0,0,0,0.553,0.418,-1.752,-0,-0,-0,-21.148,1.28,1726.599,139.657,-0.356,0.386,0.383,3.302,1.229,-1.05,-0.315,0.092,0.368,7.426,4.716,-22.159,-0.361,0.124,0.368,6.198,4.377,-21.907
0.008 sec,0,0,0,0,0,0,0.533,0.374,-1.535,-0,-0,-0,-19.42,1.415,1716.154,129.02,-0.356,0.384,0.383,3.31,1.437,-1.48,-0.317,0.09,0.368,7.3,4.755,-20.913,-0.363,0.122,0.368,5.951,4.35,-20.635
0.009 sec,0,0,0,0,0,0,0.512,0.335,-1.352,-0,-0,-0,-17.723,1.538,1705.115,118.788,-0.357,0.382,0.382,3.32,1.641,-1.902,-0.319,0.089,0.368,7.168,4.79,-19.686,-0.365,0.12,0.368,5.712,4.318,-19.385
0.01 sec,0,0,0,0,0,0,0.491,0.303,-1.201,-0,-0,-0,-16.085,1.647,1693.876,109.146,-0.357,0.38,0.382,3.329,1.837,-2.308,-0.32,0.088,0.368,7.035,4.821,-18.499,-0.368,0.118,0.367,5.486,4.284,-18.176
0.011 sec,0,0,0,0,0,0,0.468,0.271,-1.059,-0,-0,-0,-14.334,1.755,1681.388,99.123,-0.357,0.378,0.382,3.341,2.046,-2.741,-0.322,0.087,0.368,6.885,4.852,-17.226,-0.37,0.115,0.367,5.248,4.242,-16.884
0.012 sec,0,0,0,0,0,0,0.446,0.243,-0.941,-0,-0,-0,-12.674,1.849,1669.209,89.911,-0.358,0.376,0.382,3.354,2.244,-3.152,-0.323,0.086,0.368,6.737,4.877,-16.016,-0.372,0.113,0.367,5.027,4.198,-15.657
