time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz
0.122 sec,-254.164,881.82,78.844,17.367,-4.034,196.251,3.773,0.657,2.235,18.419,5.822,7.64,20.981,33.668,-5.207,-52.129,-0.296,0.3,0.441,8.154,-11.771,-19.849,-0.33,0.043,0.386,32.062,5.342,-1.826
0.123 sec,-253.667,874.521,78.564,17.063,-4.185,194.693,3.755,0.642,2.238,18.317,5.743,7.649,20.974,33.616,-8.142,-51.676,-0.296,0.3,0.442,8.216,-11.791,-19.911,-0.33,0.043,0.386,32.103,5.268,-1.869
0.124 sec,-253.172,867.213,78.227,16.767,-4.32,193.125,3.738,0.626,2.24,18.221,5.665,7.654,20.964,33.565,-10.973,-51.188,-0.296,0.3,0.442,8.279,-11.81,-19.972,-0.33,0.043,0.386,32.145,5.194,-1.915
0.125 sec,-252.595,859.891,77.779,16.478,-4.43,191.546,3.722,0.612,2.241,18.131,5.588,7.656,20.952,33.514,-13.682,-50.684,-0.295,0.3,0.442,8.342,-11.828,-20.032,-0.33,0.044,0.386,32.188,5.121,-1.963
0.126 sec,-251.997,852.626,77.204,16.198,-4.512,189.975,3.708,0.597,2.242,18.046,5.512,7.654,20.937,33.463,-16.255,-50.184,-0.295,0.3,0.443,8.404,-11.845,-20.09,-0.33,0.044,0.386,32.232,5.05,-2.012
0.127 sec,-251.376,845.294,76.516,15.921,-4.568,188.386,3.693,0.583,2.241,17.966,5.437,7.65,20.919,33.413,-18.738,-49.689,-0.295,0.3,0.443,8.467,-11.862,-20.148,-0.33,0.044,0.386,32.277,4.978,-2.063
0.128 sec,-250.749,838.159,75.79,15.656,-4.605,186.837,3.681,0.569,2.24,17.892,5.364,7.643,20.9,33.364,-21.035,-49.229,-0.295,0.3,0.443,8.528,-11.878,-20.202,-0.33,0.044,0.386,32.322,4.909,-2.114
0.129 sec,-250.091,831.01,74.946,15.396,-4.615,185.281,3.668,0.555,2.238,17.822,5.292,7.634,20.878,33.316,-23.228,-48.802,-0.294,0.3,0.443,8.589,-11.894,-20.256,-0.33,0.044,0.386,32.368,4.839,-2.167
0.13 sec,-249.412,823.787,74.053,15.138,-4.613,183.707,3.657,0.542,2.235,17.755,5.22,7.622,20.854,33.267,-25.327,-48.41,-0.294,0.3,0.444,8.651,-11.909,-20.31,-0.33,0.044,0.386,32.415,4.77,-2.221
0.131 sec,-248.714,816.617,73.083,14.888,-4.588,182.14,3.646,0.529,2.232,17.693,5.148,7.608,20.827,33.218,-27.299,-48.072,-0.294,0.3,0.444,8.712,-11.924,-20.362,-0.33,0.044,0.386,32.463,4.701,-2.277
0.132 sec,-247.988,809.474,72.113,14.644,-4.559,180.575,3.636,0.516,2.228,17.633,5.078,7.591,20.799,33.17,-29.141,-47.788,-0.293,0.3,0.444,8.774,-11.938,-20.413,-0.329,0.045,0.386,32.511,4.634,-2.334
0.133 sec,-247.199,802.177,71.012,14.401,-4.504,178.974,3.626,0.503,2.224,17.576,5.007,7.573,20.768,33.121,-30.912,-47.565,-0.293,0.3,0.445,8.837,-11.952,-20.464,-0.329,0.045,0.386,32.562,4.564,-2.393
0.134 sec,-246.415,795.027,69.954,14.167,-4.452,177.404,3.617,0.49,2.219,17.522,4.937,7.552,20.736,33.073,-32.529,-47.413,-0.293,0.3,0.445,8.899,-11.966,-20.513,-0.329,0.045,0.386,32.612,4.497,-2.451
0.135 sec,-245.705,788.671,68.949,13.963,-4.389,176.003,3.61,0.479,2.214,17.476,4.875,7.532,20.705,33.03,-33.881,-47.339,-0.292,0.3,0.445,8.955,-11.978,-20.557,-0.329,0.045,0.386,32.657,4.436,-2.504
0.136 sec,-244.9,781.787,67.846,13.747,-4.314,174.485,3.602,0.467,2.209,17.428,4.808,7.51,20.671,32.983,-35.237,-47.324,-0.292,0.3,0.446,9.016,-11.991,-20.602,-0.329,0.045,0.386,32.707,4.371,-2.563
0.137 sec,-244.065,774.838,66.74,13.532,-4.237,172.952,3.594,0.455,2.203,17.381,4.741,7.485,20.635,32.935,-36.496,-47.375,-0.292,0.301,0.446,9.078,-12.003,-20.648,-0.329,0.045,0.386,32.757,4.305,-2.622
0.138 sec,-243.174,767.645,65.545,13.315,-4.143,171.364,3.586,0.443,2.196,17.333,4.671,7.458,20.596,32.885,-37.691,-47.504,-0.292,0.301,0.446,9.143,-12.016,-20.694,-0.329,0.045,0.386,32.81,4.237,-2.685
0.139 sec,-242.277,760.565,64.401,13.104,-4.056,169.801,3.579,0.431,2.19,17.287,4.603,7.43,20.556,32.836,-38.755,-47.699,-0.291,0.301,0.447,9.207,-12.029,-20.738,-0.329,0.046,0.386,32.862,4.17,-2.746
0.14 sec,-241.476,754.386,63.363,12.923,-3.969,168.435,3.573,0.42,2.183,17.247,4.543,7.404,20.52,32.792,-39.6,-47.934,-0.291,0.301,0.447,9.264,-12.039,-20.777,-0.329,0.046,0.386,32.909,4.111,-2.801
0.141 sec,-240.609,747.97,62.297,12.735,-3.879,167.012,3.566,0.409,2.176,17.205,4.48,7.376,20.481,32.745,-40.381,-48.242,-0.291,0.301,0.447,9.323,-12.05,-20.816,-0.329,0.046,0.386,32.957,4.05,-2.859
0.142 sec,-239.735,741.776,61.287,12.554,-3.795,165.636,3.56,0.398,2.17,17.165,4.419,7.348,20.443,32.699,-41.052,-48.594,-0.29,0.301,0.448,9.382,-12.06,-20.854,-0.329,0.046,0.386,33.005,3.99,-2.915
0.143 sec,-238.724,734.932,60.127,12.358,-3.693,164.116,3.552,0.387,2.162,17.12,4.351,7.317,20.399,32.648,-41.701,-49.055,-0.29,0.301,0.448,9.448,-12.071,-20.895,-0.329,0.046,0.386,33.057,3.923,-2.977
0.144 sec,-237.722,728.339,59.03,12.17,-3.601,162.651,3.545,0.375,2.154,17.075,4.285,7.285,20.355,32.596,-42.239,-49.556,-0.29,0.301,0.448,9.512,-12.081,-20.933,-0.329,0.046,0.386,33.109,3.859,-3.038
0.145 sec,-236.706,721.815,57.982,11.987,-3.519,161.198,3.538,0.364,2.146,17.029,4.218,7.252,20.311,32.544,-42.685,-50.109,-0.29,0.301,0.449,9.577,-12.091,-20.971,-0.328,0.046,0.386,33.16,3.794,-3.099
0.146 sec,-235.73,715.848,57.024,11.821,-3.445,159.865,3.531,0.353,2.139,16.986,4.156,7.221,20.269,32.495,-43.012,-50.664,-0.289,0.301,0.449,9.639,-12.1,-21.006,-0.328,0.047,0.386,33.207,3.734,-3.156
0.147 sec,-234.743,710.096,56.112,11.663,-3.379,158.581,3.525,0.342,2.131,16.943,4.095,7.19,20.227,32.446,-43.26,-51.235,-0.289,0.301,0.449,9.699,-12.109,-21.039,-0.328,0.047,0.386,33.253,3.676,-3.211
0.148 sec,-233.614,703.726,55.145,11.49,-3.319,157.158,3.517,0.331,2.123,16.893,4.027,7.156,20.18,32.39,-43.465,-51.903,-0.289,0.301,0.45,9.767,-12.117,-21.075,-0.328,0.047,0.386,33.304,3.61,-3.272
0.149 sec,-233.066,697.96,54.313,11.332,-3.274,155.861,3.509,0.32,2.115,16.844,3.963,7.122,20.135,32.336,-43.593,-52.54,-0.289,0.302,0.45,9.831,-12.125,-21.108,-0.328,0.047,0.386,33.352,3.549,-3.33
0.15 sec,-235.094,696.289,54.315,11.274,-3.295,155.448,3.506,0.315,2.112,16.825,3.937,7.109,20.118,32.315,-43.629,-52.693,-0.289,0.302,0.45,9.857,-12.128,-21.121,-0.328,0.047,0.386,33.37,3.525,-3.352
