time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.016 sec,-103.476,415.029,-4.064,4.755,4.851,78.641,-0.618,0.025,-0.769,-0,-0,0,-11.725,-4.859,1128.676,-1.265,-0.359,0.365,0.38,3.63,2.718,-3.147,-0.325,0.078,0.369,0.723,2.635,-13.86,-0.374,0.103,0.364,5.164,4.54,-14.726
0.017 sec,-109.77,456.573,-4.091,4.902,5.294,87.455,-0.647,0.009,-0.696,-0,-0,0,-10.526,-4.865,1106.684,-9.65,-0.36,0.363,0.38,3.672,2.863,-3.367,-0.326,0.077,0.369,0.626,2.527,-12.903,-0.375,0.101,0.364,5.039,4.508,-13.762
0.018 sec,-116.61,499.231,-5.985,4.811,6.197,96.135,-0.674,-0.006,-0.633,-0,-0,0,-9.463,-4.879,1089.189,-18.414,-0.36,0.36,0.379,3.711,2.992,-3.555,-0.326,0.075,0.369,0.536,2.425,-12.046,-0.377,0.099,0.363,4.931,4.478,-12.901
0.019 sec,-123.268,542.633,-8.2,4.667,7.175,104.98,-0.703,-0.022,-0.566,-0,-0,-0,-8.351,-4.903,1071.631,-28.726,-0.361,0.358,0.379,3.753,3.127,-3.743,-0.327,0.073,0.369,0.439,2.314,-11.14,-0.378,0.096,0.363,4.822,4.446,-11.991
0.02 sec,-129.337,582.858,-9.246,4.566,7.879,113.107,-0.731,-0.037,-0.505,-0,-0,-0,-7.355,-4.935,1056.533,-39.011,-0.361,0.356,0.379,3.792,3.251,-3.905,-0.328,0.072,0.368,0.348,2.209,-10.319,-0.379,0.094,0.362,4.728,4.418,-11.17
0.021 sec,-135.766,627.072,-9.379,4.468,8.414,121.922,-0.761,-0.053,-0.439,-0,-0,-0,-6.323,-4.979,1041.448,-50.624,-0.361,0.353,0.378,3.834,3.383,-4.067,-0.329,0.07,0.368,0.248,2.096,-9.462,-0.38,0.092,0.362,4.633,4.391,-10.312
0.022 sec,-140.766,673.682,-9.385,4.365,8.896,131.183,-0.796,-0.072,-0.364,-0,-0,-0,-5.209,-5.04,1025.969,-64.119,-0.362,0.351,0.378,3.881,3.529,-4.234,-0.33,0.069,0.368,0.133,1.969,-8.526,-0.381,0.089,0.362,4.533,4.364,-9.38
0.023 sec,-143.438,715.374,-10.224,4.066,9.536,139.457,-0.828,-0.09,-0.294,-0,-0,-0,-4.237,-5.108,1012.524,-77.043,-0.362,0.348,0.378,3.923,3.662,-4.374,-0.331,0.067,0.367,0.027,1.853,-7.702,-0.382,0.087,0.361,4.45,4.344,-8.559
0.024 sec,-147.091,758.765,-11.459,3.663,10.323,148.038,-0.863,-0.11,-0.215,-0,-0,-0,-3.211,-5.193,998.194,-91.867,-0.363,0.346,0.378,3.969,3.808,-4.515,-0.331,0.066,0.367,-0.093,1.727,-6.823,-0.383,0.084,0.361,4.364,4.327,-7.687
0.025 sec,-150.14,799.676,-11.822,3.26,10.896,156.213,-0.901,-0.132,-0.129,-0,-0,-0,-2.197,-5.296,983.548,-107.675,-0.363,0.344,0.377,4.014,3.96,-4.648,-0.332,0.064,0.367,-0.221,1.596,-5.945,-0.384,0.082,0.36,4.283,4.317,-6.819
0.026 sec,-153.377,837.715,-11.356,2.852,11.321,163.739,-0.935,-0.152,-0.049,-0,-0,-0,-1.309,-5.4,970.326,-122.484,-0.363,0.341,0.377,4.055,4.1,-4.76,-0.333,0.063,0.367,-0.341,1.478,-5.169,-0.385,0.08,0.36,4.214,4.314,-6.053
0.027 sec,-159.221,885.8,-9.625,2.418,11.741,172.718,-0.977,-0.177,0.051,-0,-0,-0,-0.303,-5.538,956.649,-140.315,-0.364,0.339,0.377,4.102,4.268,-4.88,-0.333,0.061,0.366,-0.487,1.338,-4.281,-0.386,0.077,0.359,4.139,4.318,-5.18
0.028 sec,-161.589,928.722,-7.528,1.968,12.069,180.622,-1.02,-0.203,0.154,-0,-0,-0,0.649,-5.687,944.168,-157.838,-0.364,0.336,0.376,4.147,4.436,-4.989,-0.334,0.059,0.366,-0.634,1.2,-3.432,-0.387,0.075,0.359,4.07,4.329,-4.348
