time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.052 sec,-365.73,1042.557,54.052,26.865,-9.94,230.436,2.065,0.077,1.675,4.875,0.457,3.227,13.919,19.707,205.268,557.046,-0.335,0.318,0.399,5.191,-5.091,-11.686,-0.334,0.048,0.372,18.852,4.815,-0.297,-0.388,0.062,0.371,3.52,-7.372,1.764
0.053 sec,-363.767,1041.336,51.967,27.167,-9.703,229.995,2.168,0.099,1.69,5.211,0.545,3.263,14.115,20.243,197.681,548.569,-0.334,0.317,0.4,5.204,-5.28,-11.926,-0.334,0.048,0.372,19.268,4.913,-0.394,-0.388,0.062,0.372,3.502,-7.589,1.707
0.054 sec,-361.32,1040.36,49.649,27.442,-9.373,229.576,2.278,0.124,1.703,5.57,0.644,3.297,14.307,20.783,190.668,540.461,-0.333,0.317,0.401,5.215,-5.465,-12.161,-0.334,0.048,0.373,19.686,5.017,-0.492,-0.388,0.062,0.373,3.484,-7.801,1.651
0.055 sec,-358.612,1039.227,47.15,27.733,-8.957,229.098,2.399,0.152,1.715,5.966,0.757,3.329,14.504,21.345,183.938,532.384,-0.332,0.317,0.402,5.226,-5.651,-12.401,-0.334,0.048,0.373,20.121,5.131,-0.593,-0.388,0.061,0.373,3.464,-8.015,1.593
0.056 sec,-355.901,1038.664,44.635,28.036,-8.511,228.736,2.516,0.182,1.725,6.355,0.871,3.357,14.682,21.865,178.151,525.188,-0.33,0.316,0.403,5.235,-5.819,-12.618,-0.333,0.048,0.374,20.523,5.242,-0.686,-0.388,0.061,0.374,3.445,-8.208,1.542
0.057 sec,-353.086,1038.549,42.196,28.364,-8.067,228.448,2.636,0.213,1.733,6.753,0.991,3.382,14.851,22.369,172.926,518.417,-0.329,0.316,0.404,5.243,-5.979,-12.823,-0.333,0.048,0.375,20.912,5.353,-0.775,-0.387,0.061,0.375,3.426,-8.39,1.494
0.058 sec,-349.929,1038.714,39.681,28.749,-7.601,228.182,2.774,0.25,1.741,7.212,1.133,3.408,15.033,22.919,167.606,511.175,-0.328,0.316,0.405,5.251,-6.149,-13.042,-0.333,0.047,0.375,21.338,5.479,-0.871,-0.387,0.061,0.376,3.406,-8.585,1.444
0.059 sec,-346.555,1039.344,36.83,29.173,-7.043,228.002,2.923,0.293,1.749,7.713,1.293,3.432,15.218,23.489,162.508,503.723,-0.327,0.315,0.406,5.258,-6.32,-13.263,-0.333,0.047,0.376,21.778,5.613,-0.968,-0.387,0.061,0.376,3.384,-8.783,1.395
0.06 sec,-344.521,1041.469,32.217,29.492,-6.011,228.287,3.025,0.322,1.753,8.054,1.404,3.448,15.337,23.857,159.409,498.486,-0.326,0.315,0.407,5.263,-6.43,-13.402,-0.333,0.047,0.376,22.063,5.703,-1.03,-0.387,0.061,0.377,3.37,-8.909,1.365
0.061 sec,-342.203,1049.201,18.562,30.086,-2.825,229.731,3.188,0.371,1.759,8.605,1.586,3.471,15.518,24.428,154.953,488.511,-0.325,0.315,0.408,5.271,-6.598,-13.614,-0.333,0.047,0.377,22.504,5.843,-1.124,-0.387,0.061,0.378,3.349,-9.101,1.322
