time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.126 sec,-267.666,832.552,65.034,18.38,-2.573,189.42,3.978,0.318,2.597,-0,-0,-0,18.646,28.508,-33.208,-34.817,-0.298,0.308,0.435,8.707,-10.405,-19.186,-0.33,0.048,0.381,29.243,3.36,-2.93,-0.383,0.065,0.382,6.156,-13.235,-1.445
0.127 sec,-266.711,824.885,64.584,18.109,-2.627,187.717,3.971,0.307,2.59,-0,-0,-0,18.611,28.472,-34.278,-36.482,-0.298,0.308,0.436,8.772,-10.435,-19.227,-0.33,0.049,0.381,29.3,3.29,-2.983,-0.383,0.065,0.382,6.222,-13.257,-1.521
0.128 sec,-265.753,817.319,64.154,17.842,-2.689,186.032,3.964,0.296,2.583,-0,-0,-0,18.576,28.434,-35.249,-38.074,-0.298,0.308,0.436,8.836,-10.464,-19.267,-0.33,0.049,0.381,29.356,3.221,-3.035,-0.383,0.065,0.382,6.288,-13.279,-1.596
0.129 sec,-264.791,809.928,63.732,17.582,-2.752,184.377,3.956,0.284,2.576,-0,-0,-0,18.54,28.395,-36.112,-39.595,-0.297,0.308,0.436,8.9,-10.492,-19.305,-0.33,0.049,0.381,29.41,3.152,-3.088,-0.383,0.065,0.382,6.355,-13.299,-1.67
0.13 sec,-263.783,802.503,63.302,17.32,-2.819,182.706,3.947,0.273,2.568,-0,-0,-0,18.503,28.354,-36.891,-41.076,-0.297,0.308,0.437,8.966,-10.52,-19.343,-0.33,0.049,0.381,29.464,3.082,-3.14,-0.383,0.066,0.382,6.422,-13.319,-1.745
0.131 sec,-262.861,795.794,62.938,17.086,-2.889,181.192,3.939,0.262,2.561,-0,-0,-0,18.468,28.315,-37.52,-42.367,-0.297,0.308,0.437,9.026,-10.544,-19.376,-0.329,0.049,0.381,29.513,3.019,-3.188,-0.383,0.066,0.382,6.484,-13.336,-1.813
0.132 sec,-261.855,788.647,62.611,16.838,-2.977,179.564,3.93,0.251,2.553,-0,-0,-0,18.429,28.271,-38.106,-43.711,-0.297,0.308,0.437,9.092,-10.57,-19.411,-0.329,0.049,0.381,29.565,2.95,-3.24,-0.383,0.066,0.382,6.552,-13.353,-1.886
0.133 sec,-260.802,781.75,62.28,16.6,-3.064,177.984,3.921,0.239,2.545,-0,-0,-0,18.391,28.226,-38.594,-44.959,-0.296,0.308,0.438,9.156,-10.595,-19.444,-0.329,0.049,0.381,29.614,2.883,-3.289,-0.382,0.066,0.382,6.619,-13.37,-1.957
0.134 sec,-259.821,775.497,62.004,16.386,-3.154,176.549,3.912,0.229,2.538,-0,-0,-0,18.355,28.184,-38.976,-46.037,-0.296,0.308,0.438,9.215,-10.616,-19.473,-0.329,0.05,0.381,29.659,2.822,-3.335,-0.382,0.066,0.382,6.681,-13.384,-2.022
0.135 sec,-258.702,768.529,61.679,16.149,-3.255,174.947,3.901,0.217,2.529,-0,-0,-0,18.314,28.135,-39.338,-47.182,-0.296,0.309,0.438,9.283,-10.64,-19.504,-0.329,0.05,0.381,29.709,2.753,-3.386,-0.382,0.067,0.382,6.751,-13.399,-2.094
